Date;Device;App;UsageTime;UsageCount
December 17, 2022;HUAWEI STK-LX29;VK;3m 14s;5
December 18, 2022;HUAWEI STK-LX30;VK;1m 30s;3
December 19, 2022;HUAWEI STK-LX31;VK;5m 8s;5
December 20, 2022;HUAWEI STK-LX32;VK;9m 22s;4
December 21, 2022;HUAWEI STK-LX33;VK;5m 24s;15
December 22, 2022;HUAWEI STK-LX34;VK;27m 52s;11
December 23, 2022;HUAWEI STK-LX35;VK;0s;0
December 24, 2022;HUAWEI STK-LX36;VK;0s;0
December 25, 2022;HUAWEI STK-LX37;VK;1m 39s;3
December 26, 2022;HUAWEI STK-LX38;VK;3m 27s;6
December 27, 2022;HUAWEI STK-LX39;VK;0s;0
December 28, 2022;HUAWEI STK-LX40;VK;0s;0
December 29, 2022;HUAWEI STK-LX41;VK;22m 33s;10
December 30, 2022;HUAWEI STK-LX42;VK;2m 43s;8
December 31, 2022;HUAWEI STK-LX43;VK;5m 31s;6
December 10, 2022;samsung SM-A536B;YouTube;0s;0
December 11, 2022;samsung SM-A536B;YouTube;0s;0
December 12, 2022;samsung SM-A536B;YouTube;0s;0
December 13, 2022;samsung SM-A536B;YouTube;0s;0
December 14, 2022;samsung SM-A536B;YouTube;0s;0
December 15, 2022;samsung SM-A536B;YouTube;0s;0
December 16, 2022;samsung SM-A536B;YouTube;0s;0
December 17, 2022;samsung SM-A536B;YouTube;0s;0
December 18, 2022;samsung SM-A536B;YouTube;0s;0
December 19, 2022;samsung SM-A536B;YouTube;1m 53s;3
December 20, 2022;samsung SM-A536B;YouTube;3m 57s;5
December 21, 2022;samsung SM-A536B;YouTube;14m 14s;13
December 22, 2022;samsung SM-A536B;YouTube;53m 40s;11
December 23, 2022;samsung SM-A536B;YouTube;5h 47m 20s;8
December 24, 2022;samsung SM-A536B;YouTube;11m 27s;4
December 25, 2022;samsung SM-A536B;YouTube;0s;0
December 26, 2022;samsung SM-A536B;YouTube;30m 21s;2
December 27, 2022;samsung SM-A536B;YouTube;4h 33m 3s;12
December 28, 2022;samsung SM-A536B;YouTube;5h 34m 7s;13
December 29, 2022;samsung SM-A536B;YouTube;5h 46m 29s;22
December 30, 2022;samsung SM-A536B;YouTube;4h 48m 21s;13
December 31, 2022;samsung SM-A536B;YouTube;6h 28m 37s;20
December 10, 2022;HUAWEI STK-LX1;YouTube;9m 4s;5
December 11, 2022;HUAWEI STK-LX2;YouTube;4h 32m 14s;18
December 12, 2022;HUAWEI STK-LX3;YouTube;3h 44m 22s;29
December 13, 2022;HUAWEI STK-LX4;YouTube;1h 54m 36s;10
December 14, 2022;HUAWEI STK-LX5;YouTube;1h 20m 33s;9
December 15, 2022;HUAWEI STK-LX6;YouTube;4h 9m 38s;17
December 16, 2022;HUAWEI STK-LX7;YouTube;2h 5m;7
December 17, 2022;HUAWEI STK-LX8;YouTube;4h 2m 8s;13
December 18, 2022;HUAWEI STK-LX9;YouTube;2h 27m 20s;17
December 19, 2022;HUAWEI STK-LX10;YouTube;25m 19s;3
December 20, 2022;HUAWEI STK-LX11;YouTube;12m 31s;2
December 21, 2022;HUAWEI STK-LX12;YouTube;1h 27m 59s;14
December 22, 2022;HUAWEI STK-LX13;YouTube;30m 45s;3
December 23, 2022;HUAWEI STK-LX14;YouTube;0s;0
December 24, 2022;HUAWEI STK-LX15;YouTube;1h 1m 6s;8
December 25, 2022;HUAWEI STK-LX16;YouTube;3h 37m 13s;21
December 26, 2022;HUAWEI STK-LX17;YouTube;1h 22m 58s;16
December 27, 2022;HUAWEI STK-LX18;YouTube;7m 54s;7
December 28, 2022;HUAWEI STK-LX19;YouTube;0s;0
December 29, 2022;HUAWEI STK-LX20;YouTube;0s;0
December 30, 2022;HUAWEI STK-LX21;YouTube;6m 4s;2
December 31, 2022;HUAWEI STK-LX22;YouTube;0s;0
December 10, 2022;samsung SM-A536B;Yandex Music;0s;0
December 11, 2022;samsung SM-A536B;Yandex Music;0s;0
December 12, 2022;samsung SM-A536B;Yandex Music;0s;0
December 13, 2022;samsung SM-A536B;Yandex Music;0s;0
December 14, 2022;samsung SM-A536B;Yandex Music;0s;0
December 15, 2022;samsung SM-A536B;Yandex Music;0s;0
December 16, 2022;samsung SM-A536B;Yandex Music;0s;0
December 17, 2022;samsung SM-A536B;Yandex Music;0s;0
December 18, 2022;samsung SM-A536B;Yandex Music;0s;0
December 19, 2022;samsung SM-A536B;Yandex Music;10m 41s;10
December 20, 2022;samsung SM-A536B;Yandex Music;2m 34s;2
December 21, 2022;samsung SM-A536B;Yandex Music;2m 26s;2
December 22, 2022;samsung SM-A536B;Yandex Music;0s;0
December 23, 2022;samsung SM-A536B;Yandex Music;0s;0
December 24, 2022;samsung SM-A536B;Yandex Music;0s;0
December 25, 2022;samsung SM-A536B;Yandex Music;0s;0
December 26, 2022;samsung SM-A536B;Yandex Music;25m 45s;3
December 27, 2022;samsung SM-A536B;Yandex Music;0s;0
December 28, 2022;samsung SM-A536B;Yandex Music;0s;0
December 29, 2022;samsung SM-A536B;Yandex Music;0s;0
December 30, 2022;samsung SM-A536B;Yandex Music;0s;0
