"","artistName","category","trackName","energy","startTime","energy_level","genre","duration"
"112","Charlie Sparks (UK)","other","Tatakai",0.966,2022-12-23 21:20:50,"fast","techno rave",3
"113","Charlie Sparks (UK)","studies","Hooligans",1,2022-12-18 19:55:46,"fast","techno rave",18
"114","Charlie Sparks (UK)","studies","Hooligans",1,2022-12-18 21:38:46,"fast","techno rave",203
"115","Charlie Sparks (UK)","studies","Hooligans",1,2022-12-22 12:55:46,"fast","techno rave",246
"116","Charlie Sparks (UK)","studies","Kaizoku",0.96,2022-12-22 13:55:52,"fast","techno rave",171
"117","Charlie Sparks (UK)","studies","Land of Fire - Original",1,2022-12-27 14:53:47,"fast","techno rave",98
"118","Charlie Sparks (UK)","studies","Tatakai",0.966,2022-12-21 20:32:50,"fast","techno rave",444
"119","Charlie Sparks (UK)","studies","Tatakai",0.966,2022-12-23 21:20:50,"fast","techno rave",145
"120","Claas Herrmann","free time","Behemoth - Tanzanfall Remix",0.997,2022-12-26 18:03:50,"fast","dark techno",296
"121","Claas Herrmann","studies","Behemoth - Tanzanfall Remix",0.997,2022-12-26 18:03:50,"fast","dark techno",20
"122","Clair","free time","Edge Of Emotion",0.934,2022-12-19 21:54:46,"fast","acid techno",13
"123","Clair","other","Edge Of Emotion",0.934,2022-12-19 21:54:46,"fast","acid techno",18
"124","Clair","studies","Edge Of Emotion",0.934,2022-12-19 21:54:46,"fast","acid techno",132
"125","Clarence ""Frogman"" Henry","studies","(I Don't Know Why) But I Do",0.535,2022-12-25 20:24:42,"medium","adult standards",17
"126","Crosby, Stills & Nash","free time","Helplessly Hoping - 2005 Remaster",0.159,2022-12-27 22:26:22,"slow","album rock",157
"127","Crosby, Stills & Nash","free time","Just a Song Before I Go",0.233,2022-12-27 23:46:46,"slow","album rock",133
"128","David Gilmour","free time","5 A.M.",0.144,2022-12-27 22:52:55,"slow","album rock",184
"129","David Temessi","other","Rave Remedy - Original Mix",0.975,2022-12-17 21:56:49,"fast","dark techno",19
"130","David Temessi","studies","Rave Remedy - Original Mix",0.975,2022-12-17 21:56:49,"fast","dark techno",7
"131","Death Grips","free time","Get Got",0.993,2022-12-26 20:03:36,"fast","escape room",12
"132","Densha Crisis","free time","Kinetik Strength",0.994,2022-12-19 20:33:58,"fast","doomcore",280
"133","Dire Straits","free time","Down To The Waterline",0.68,2022-12-28 00:44:58,"fast","album rock",241
"134","Dire Straits","free time","Lady Writer",0.798,2022-12-27 23:02:15,"fast","album rock",224
"135","Dire Straits","free time","News",0.452,2022-12-27 22:32:46,"medium","album rock",253
"136","Dire Straits","free time","Private Investigations",0.101,2022-12-28 21:11:02,"slow","album rock",22
"137","Dire Straits","free time","Private Investigations",0.101,2022-12-28 22:39:14,"slow","album rock",135
"138","Dire Straits","free time","Private Investigations",0.101,2022-12-29 11:51:08,"slow","album rock",46
"139","Dire Straits","free time","Romeo And Juliet",0.574,2022-12-28 00:18:59,"medium","album rock",360
"140","Dire Straits","free time","Six Blade Knife",0.434,2022-12-27 23:50:48,"medium","album rock",252
"141","Dire Straits","free time","Sultans Of Swing",0.868,2022-12-27 23:19:11,"fast","album rock",348
"142","Dire Straits","other","Iron Hand",0.212,2022-12-28 22:45:51,"slow","album rock",188
"143","Dire Straits","other","Private Investigations",0.101,2022-12-28 21:11:02,"slow","album rock",33
"144","Dire Straits","other","Private Investigations",0.101,2022-12-28 22:39:14,"slow","album rock",99
"145","Dire Straits","studies","Private Investigations",0.101,2022-12-28 21:11:02,"slow","album rock",236
"146","Dire Straits","studies","Private Investigations",0.101,2022-12-28 22:39:14,"slow","album rock",121
"147","Dire Straits","studies","Private Investigations",0.101,2022-12-29 11:51:08,"slow","album rock",230
"148","DJ Khaled","studies","NO SECRET (feat. Drake)",0.626,2022-12-29 18:13:12,"medium","hip hop",28
"149","DJ Khaled","studies","NO SECRET (feat. Drake)",0.626,2022-12-29 19:31:12,"medium","hip hop",39
"150","DJ Mitsu The Beats","free time","A Little Piano",0.825,2022-12-28 19:33:39,"fast","ambeat",2
"151","DJ Mitsu The Beats","other","A Little Piano",0.825,2022-12-28 19:33:39,"fast","ambeat",7
"152","DJ Mitsu The Beats","studies","A Little Piano",0.825,2022-12-28 19:33:39,"fast","ambeat",90
"153","Drake","free time","A Keeper",0.482,2022-12-28 21:31:06,"medium","canadian hip hop",13
"154","Drake","free time","Calling My Name",0.276,2022-12-28 21:34:50,"slow","canadian hip hop",43
"155","Drake","free time","Calling My Name",0.276,2022-12-29 17:23:50,"slow","canadian hip hop",8
