"","endTime","artistName","trackName","duration","startTime","date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","genre","energy_level"
"97",2022-12-03 12:45:00,"X-Alox","Pai´s en Construccio´n",321.714,2022-12-03 12:39:38,2022-12-03,0.659,1,1,-6.719,0,0.0618,0.000132,0.793,0.111,0.292,143.984,"cuban electronic","fast"
"98",2022-12-03 12:51:00,"AIROD","Jugal Bone",336.097,2022-12-03 12:45:23,2022-12-03,0.627,0.989,10,-6.925,0,0.0577,2.71e-05,0.747,0.126,0.551,139.99,"french techno","fast"
"99",2022-12-03 12:57:00,"Lars Huismann","Bulletproof - Original Mix",361.559,2022-12-03 12:50:58,2022-12-03,0.723,0.985,7,-8.435,1,0.124,0.0467,0.673,0.107,0.106,143.006,"hard techno","fast"
"100",2022-12-03 13:02:00,"Kobosil","Hora",304.864,2022-12-03 12:56:55,2022-12-03,0.585,0.955,4,-9.348,1,0.104,0.000274,0.689,0.0933,0.296,148.001,"industrial techno","fast"
"103",2022-12-03 13:20:00,"Alignment","You Can't Control Me",351.549,2022-12-03 13:14:08,2022-12-03,0.56,0.995,7,-6.596,1,0.0467,8.4e-05,0.805,0.154,0.0666,142.008,"acid techno","fast"
"106",2022-12-03 13:39:00,"Rezystor","Synthetic Nightmare",410.499,2022-12-03 13:32:09,2022-12-03,0.505,0.944,1,-11.209,1,0.0402,0.00254,0.8,0.131,0.379,142.995,"techno rave","fast"
"124",2022-12-03 15:25:00,"OTTA","Savage",332.307,2022-12-03 15:19:27,2022-12-03,0.614,0.974,7,-7.125,1,0.0695,0.00461,0.769,0.79,0.657,155.97,"portuguese techno","fast"
"127",2022-12-03 15:41:00,"Midnight Vices","Move Next - Original Mix",346.27,2022-12-03 15:35:13,2022-12-03,0.664,0.85,7,-8.749,1,0.0722,0.000669,0.91,0.678,0.336,139.994,"french techno","fast"
"130",2022-12-03 15:57:00,"Afem Syko","Generation E",311.652,2022-12-03 15:51:48,2022-12-03,0.572,0.958,8,-7.878,1,0.0562,0.00013,0.906,0.151,0.22,144.006,"techno rave","fast"
"131",2022-12-03 16:03:00,"Balrog","Run For Cover",316.461,2022-12-03 15:57:43,2022-12-03,0.72,0.998,4,-8.825,1,0.0855,0.000523,0.295,0.172,0.0323,142.004,"techno rave","fast"
"141",2022-12-03 18:48:00,"Pink Floyd","Any Colour You Like - 2011 Remastered Version",205.773,2022-12-03 18:44:34,2022-12-03,0.355,0.459,0,-10.211,1,0.0363,0.229,0.753,0.143,0.475,143.443,"album rock","medium"
"145",2022-12-03 19:07:00,"Blue Öyster Cult","Then Came the Last Days of May",210.546,2022-12-03 19:03:29,2022-12-03,0.367,0.609,9,-11.221,0,0.0457,0.301,0.0243,0.196,0.443,149.386,"album rock","medium"
"147",2022-12-03 19:21:00,"Gentle Giant","Aspirations",236.424,2022-12-03 19:17:03,2022-12-03,0.568,0.127,2,-22.768,1,0.0461,0.801,0.0116,0.0975,0.198,130.521,"album rock","slow"
"148",2022-12-03 19:28:00,"Renaissance","Kiev",458.693,2022-12-03 19:20:21,2022-12-03,0.302,0.548,6,-10.257,0,0.0326,0.291,0.0231,0.225,0.428,148.739,"album rock","medium"
