"","endTime","artistName","trackName","duration","startTime","date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","genre","energy_level"
"73",2022-12-01 14:12:00,"Imagine Dragons","Birds",0.661,2022-12-01 14:11:59,2022-12-01,0.649,0.517,1,-7.428,0,0.0297,0.0146,1.63e-06,0.145,0.35,119.997,"modern rock","medium"
"74",2022-12-01 14:12:00,"Koza","Duchy",6.349,2022-12-01 14:11:53,2022-12-01,0.617,0.793,1,-6.971,1,0.229,0.807,0,0.11,0.616,77.942,"polish alternative rap","fast"
"75",2022-12-01 14:12:00,"Dawid Podsiadło","W Dobrą Stronę",1.44,2022-12-01 14:11:58,2022-12-01,0.705,0.725,4,-5.957,1,0.0295,0.172,0,0.346,0.819,124.969,"polish pop","fast"
"76",2022-12-01 14:12:00,"Dawid Podsiadło","POST",0.853,2022-12-01 14:11:59,2022-12-01,0.733,0.874,7,-4.178,0,0.0437,0.141,0.00115,0.115,0.962,140.043,"polish pop","fast"
"77",2022-12-01 14:12:00,"Imagine Dragons","Demons",0.661,2022-12-01 14:11:59,2022-12-01,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938,"modern rock","fast"
"78",2022-12-01 14:12:00,"Ralph Kaminski","Wyjątkowo zimny maj",0.735,2022-12-01 14:11:59,2022-12-01,0.463,0.452,7,-11.507,0,0.047,0.585,0.122,0.182,0.23,104.16,"polish alternative","medium"
"79",2022-12-01 14:12:00,"Urszula","Rysa Na Szkle",0.789,2022-12-01 14:11:59,2022-12-01,0.643,0.74,7,-6.696,1,0.0241,0.00207,0.000312,0.205,0.536,101.959,"classic polish pop","fast"
"80",2022-12-01 14:12:00,"Męskie Granie Orkiestra 2021","I Ciebie też, bardzo (feat. Daria Zawiałow, Dawid Podsiadło & Vito Bambino)",0.8,2022-12-01 14:11:59,2022-12-01,0.503,0.743,10,-4.712,1,0.034,0.0671,6.85e-05,0.0984,0.313,174.002,"polish alternative","fast"
"81",2022-12-01 14:12:00,"sanah","Ale jazz!",0.746,2022-12-01 14:11:59,2022-12-01,0.674,0.635,0,-6.119,0,0.0818,0.383,0.0112,0.108,0.912,205.995,"polish pop","medium"
"82",2022-12-01 14:12:00,"Myslovitz","Scenariusz dla moich sąsiadów",1.066,2022-12-01 14:11:58,2022-12-01,0.706,0.718,0,-6.207,1,0.042,0.0684,0,0.064,0.786,129.037,"polish alternative","fast"
"83",2022-12-01 14:15:00,"Imagine Dragons","Lonely",159.851,2022-12-01 14:12:20,2022-12-01,0.714,0.73,0,-5.564,1,0.0438,0.0256,0,0.177,0.873,97.983,"modern rock","fast"
"84",2022-12-01 14:18:00,"Vito Bambino","Poszło",224.983,2022-12-01 14:14:15,2022-12-01,0.598,0.589,1,-8.338,1,0.0514,0.123,3.23e-05,0.0977,0.465,91.763,"polish alternative","medium"
"85",2022-12-01 14:24:00,"Cage The Elephant","Instant Crush - Unpeeled",309.386,2022-12-01 14:18:50,2022-12-01,0.587,0.869,10,-5.304,0,0.0318,0.00938,0,0.132,0.734,113.77,"modern rock","fast"
"86",2022-12-01 14:31:00,"GOLEC UORKIESTRA","Lornetka",89.003,2022-12-01 14:29:30,2022-12-01,0.759,0.572,0,-5.892,1,0.0414,0.0277,0,0.231,0.597,118.031,"polish pop","medium"
"88",2022-12-01 18:45:00,"Black Sabbath","God Is Dead?",532.266,2022-12-01 18:36:07,2022-12-01,0.379,0.726,3,-4.935,0,0.0332,0.000193,0.00266,0.0578,0.178,120.012,"album rock","fast"
