Unnamed: 0,title,titleUrl,channel,channelUrl,time,id,duration,views,likes,favorites,comments,channelSubscribers
3582,Galaxy S22 Ultra Impressions: It's a Note!,https://www.youtube.com/watch?v=ldadR6XqiWE,Marques Brownlee,https://www.youtube.com/channel/UCBJycsmduvYEL83R_U4JriQ,2022-02-10T12:45:57.348Z,ldadR6XqiWE,0 days 00:07:37,3366309,137481,0,7199,16500000
3583,Zbigniew BRÓDKA i Koen VERWEIJ | ZŁOTY MEDAL 1500 m Soczi 2014,https://www.youtube.com/watch?v=v9AKcfYMg8M,Eurosport Polska,https://www.youtube.com/channel/UC_pkfygi0DKht_Cc0Ca42Fw,2022-02-10T09:18:29.158Z,v9AKcfYMg8M,0 days 00:06:33,344579,2077,0,108,112000
3584,wypadek na A4,https://www.youtube.com/watch?v=9OLvtWfvgGA,Zbyszek Bolonek,https://www.youtube.com/channel/UCu8HOxr5OjhlDsElkdCRAXA,2022-02-10T09:18:13.093Z,9OLvtWfvgGA,0 days 00:01:01,93270,353,0,138,41
3585,What Army Snipers Go Through At Sniper School | Boot Camp,https://www.youtube.com/watch?v=-ZMzfihqOkQ,Insider Business,https://www.youtube.com/channel/UCcyq283he07B7_KUX07mmtA,2022-02-10T09:10:30.232Z,-ZMzfihqOkQ,0 days 00:21:15,12162726,113466,0,4119,7320000
3586,"Bułgarska zabawka kradnie auta w parę minut. Samochody bezbronne wobec ""gameboya""",https://www.youtube.com/watch?v=_Go6byfIgaU,polsatnews.pl,https://www.youtube.com/channel/UCb7O4-iI4pEO5UZPlOBr0Ug,2022-02-10T08:57:17.350Z,_Go6byfIgaU,0 days 00:12:08,760026,7617,0,893,99300
3587,PRZEGRAŁEM WALKĘ,https://www.youtube.com/watch?v=LfSGzsYE6iE,WarszawskiKoks,https://www.youtube.com/channel/UC2AyohFiDUS3K98h5dJVfog,2022-02-10T08:42:59.991Z,LfSGzsYE6iE,0 days 00:34:29,1709639,111358,0,5851,1140000
3588,Samsung S22 Ultra...Note!,https://www.youtube.com/watch?v=VZCCix1Ql44,Kuba Klawiter,https://www.youtube.com/channel/UCLr4hMhk_2KE0GUBSBrspGA,2022-02-10T08:34:50.151Z,VZCCix1Ql44,0 days 00:06:52,353217,14040,0,691,911000
3589,"Powrót do Windowsa, czyli Microsoft Surface Pro 8 | RECENZJA",https://www.youtube.com/watch?v=y87qf16c4bE,nieantyfan,https://www.youtube.com/channel/UCFGud6qsbaAjuP6WaXAJj3Q,2022-02-10T08:27:48.191Z,y87qf16c4bE,0 days 00:11:26,51442,1936,0,171,267000
3590,"Samsung Galaxy S22, S22+, S22 Ultra Unboxing Every Color + Every Accessory",https://www.youtube.com/watch?v=OlapSPEs5YI,Unbox Therapy,https://www.youtube.com/channel/UCsTcErHg8oDvUnTzoqsYeNw,2022-02-09T15:46:00.222Z,OlapSPEs5YI,0 days 00:31:14,2451744,69933,0,10800,18200000
3591,Urządzenie po innych serwisach - jak się zabezpieczyć podczas diagnozy?,https://www.youtube.com/watch?v=Iaxju7U2YWw,Rafal Bielawski,https://www.youtube.com/channel/UCMsi03EhTUsUs2OtPus6XDQ,2022-02-09T15:43:49.089Z,Iaxju7U2YWw,0 days 00:31:02,34257,1395,0,138,52500
3592,"Samsung Galaxy S22 / S22+ / S22 Ultra - pierwsze wrażenia, Mobzilla Flesz odc. 82",https://www.youtube.com/watch?v=--hjm2eyrQA,Mobzilla,https://www.youtube.com/channel/UC6NFFT5qOAvgO_NQomkRvSw,2022-02-09T15:37:52.001Z,--hjm2eyrQA,0 days 00:07:56,157806,2948,0,663,430000
3593,Someone Brought Me a Fake iPhone 11 Pro.... #Shorts,https://www.youtube.com/watch?v=28Os7kkG2rw,Phone Repair Guru,https://www.youtube.com/channel/UCCOrp7GPgZA8EGrbOcIAsyQ,2022-02-09T15:36:34.203Z,28Os7kkG2rw,0 days 00:00:56,24226830,1615120,0,5439,3520000
3594,Make Your Signature Digital with Photoshop! #Shorts,https://www.youtube.com/watch?v=aCYFDPdNM50,PiXimperfect,https://www.youtube.com/channel/UCMrvLMUITAImCHMOhX88PYQ,2022-02-09T15:35:30.531Z,aCYFDPdNM50,0 days 00:01:00,31452223,1739043,0,3950,4360000
3595,This is the WORST trend on new cars!,https://www.youtube.com/watch?v=TxsYIsYmBLI,Mat Watson Cars,https://www.youtube.com/channel/UCulu1KUYJ_2OBDouc_d-cUA,2022-02-09T15:35:02.612Z,TxsYIsYmBLI,0 days 00:00:26,1747226,63029,0,3119,804000
3596,Zobacz jak zainstalować Smart TV w swoim samochodzie! #101_Gadżetów,https://www.youtube.com/watch?v=wzb4zf7rQmM,TVN Turbo,https://www.youtube.com/channel/UCfsSoUSQzUimrjKhAKmshDQ,2022-02-09T15:32:22.457Z,wzb4zf7rQmM,0 days 00:03:36,119257,1902,0,126,593000
3597,This New Smartphone Just Launched at an Aggressive Price...,https://www.youtube.com/watch?v=o3PPWmCt1aA,Unbox Therapy,https://www.youtube.com/channel/UCsTcErHg8oDvUnTzoqsYeNw,2022-02-09T00:42:30.830Z,o3PPWmCt1aA,0 days 00:07:26,1236186,19827,0,1838,18200000
3598,"Modelka, która została MISTRZYNIĄ OLIMPIJSKĄ w big air! | Pekin 2022",https://www.youtube.com/watch?v=qkv7kH2AUys,Eurosport Polska,https://www.youtube.com/channel/UC_pkfygi0DKht_Cc0Ca42Fw,2022-02-09T00:38:55.944Z,qkv7kH2AUys,0 days 00:03:28,58019,458,0,86,112000
3599,Man Sues Mercedes After Losing Thumb To A 'Special Feature',https://www.youtube.com/watch?v=MpS2UC0E2oY,LaterClips,https://www.youtube.com/channel/UCtVGGeUqfVHOK4Q6nAwYO3g,2022-02-09T00:38:06.578Z,MpS2UC0E2oY,0 days 00:03:40,92850,2977,0,310,865000
3600,The Rise And Fall Of Playboy,https://www.youtube.com/watch?v=d0Rye5DTx9c,Insider Business,https://www.youtube.com/channel/UCcyq283he07B7_KUX07mmtA,2022-02-09T00:37:24.601Z,d0Rye5DTx9c,0 days 00:07:54,4599716,67076,0,3473,7320000
3601,This Integral Will Make You Better At Calculus,https://www.youtube.com/watch?v=rJjMwoYADbM,BriTheMathGuy,https://www.youtube.com/channel/UChVUSXFzV8QCOKNWGfE56YQ,2022-02-09T00:36:36.504Z,rJjMwoYADbM,0 days 00:07:03,76244,3614,0,128,246000
3602,Niezapowiedziane prace przy trakcji elektrycznej,https://www.youtube.com/watch?v=2ICOk_OVROM,Elektryka Prąd Nie Tyka,https://www.youtube.com/channel/UCO67eg187SHffX20tYfa0rg,2022-02-09T00:35:46.615Z,2ICOk_OVROM,0 days 00:00:31,957683,5637,0,560,27200
3603,My Tech EDC (Everyday Carry) 2022,https://www.youtube.com/watch?v=ppcRyUWeGwY,Joseph Lipsen,https://www.youtube.com/channel/UCu03DdbqDmBGvz7COobACVg,2022-02-09T00:22:08.264Z,ppcRyUWeGwY,0 days 00:05:57,17443,484,0,19,1640
3604,Potrącenie pieszej na trzypasmowej jezdni w Łodzi #749 Wasze Filmy,https://www.youtube.com/watch?v=Q3qywEroVuQ,STOP CHAM,https://www.youtube.com/channel/UCJ0VFYHC4J6KhC_ohzrJ0eA,2022-02-09T00:03:08.017Z,Q3qywEroVuQ,0 days 00:00:52,480592,4386,0,2125,503000
3605,Porsche Cayenne GTS Coupe 4.0 V8 460 TEST SUV Coupe,https://www.youtube.com/watch?v=U8MN-1ZhdGc,Autowizja,https://www.youtube.com/channel/UCF1bWbO5B_qmiVnTFxDXThA,2022-02-08T19:17:24.369Z,U8MN-1ZhdGc,0 days 00:11:51,150763,2801,0,240,126000
